Ano,Mês,Valor,Categoia
2015,3,0.47,Neutro
2015,4,0.7,El Ninõ
2015,5,0.92,El Ninõ
2015,6,1.18,El Ninõ
2015,7,1.46,El Ninõ
2015,8,1.93,El Ninõ
2015,9,2.21,El Ninõ
2015,10,2.36,El Ninõ
2015,11,2.72,El Ninõ
2015,12,2.66,El Ninõ
2016,1,2.57,El Ninõ
2016,2,2.26,El Ninõ
2016,3,1.62,El Ninõ
2016,4,0.91,El Ninõ
2016,5,0.3,Neutro
2016,6,-0.03,Neutro
2016,7,-0.48,Neutro
2016,8,-0.58,La Ninã
2016,9,-0.58,La Ninã
2016,10,-0.74,La Ninã
2016,11,-0.76,La Ninã
2016,12,-0.5,La Ninã
2017,1,-0.43,Neutro
2017,2,-0.08,Neutro
2017,3,0.03,Neutro
2017,4,0.22,Neutro
2017,5,0.37,Neutro
2017,6,0.34,Neutro
2017,7,0.25,Neutro
2017,8,-0.16,Neutro
2017,9,-0.43,Neutro
2017,10,-0.56,La Ninã
2017,11,-0.97,La Ninã
2017,12,-0.98,La Ninã
2018,1,-0.98,La Ninã
2018,2,-0.78,La Ninã
2018,3,-0.8,La Ninã
2018,4,-0.51,La Ninã
2018,5,-0.2,Neutro
2018,6,0.04,Neutro
2018,7,0.12,Neutro
2018,8,0.09,Neutro
2018,9,0.47,Neutro
2018,10,0.9,El Ninõ
2018,11,0.9,El Ninõ
2018,12,0.89,El Ninõ
2019,1,0.65,El Ninõ
2019,2,0.71,El Ninõ
2019,3,0.81,El Ninõ
2019,4,0.62,El Ninõ
2019,5,0.55,El Ninõ
2019,6,0.45,Neutro
2019,7,0.35,Neutro
2019,8,0.04,Neutro
2019,9,0.03,Neutro
2019,10,0.48,Neutro
2019,11,0.52,El Ninõ
2019,12,0.52,El Ninõ
2020,1,0.6,El Ninõ
2020,2,0.37,Neutro
2020,3,0.48,Neutro
2020,4,0.36,Neutro
2020,5,-0.27,Neutro
2020,6,-0.34,Neutro
2020,7,-0.3,Neutro
2020,8,-0.59,La Ninã
2020,9,-0.83,La Ninã
2020,10,-1.26,La Ninã
2020,11,-1.42,La Ninã
2020,12,-1.15,La Ninã
2021,1,-1.0,La Ninã
2021,2,-1.0,La Ninã
2021,3,-0.8,La Ninã
2021,4,-0.72,La Ninã
2021,5,-0.46,Neutro
2021,6,-0.28,Neutro
2021,7,-0.39,Neutro
2021,8,-0.53,La Ninã
2021,9,-0.55,La Ninã
2021,10,-0.94,La Ninã
2021,11,-0.94,La Ninã
2021,12,-1.06,La Ninã
2022,1,-0.94,La Ninã
2022,2,-0.89,La Ninã
2022,3,-0.97,La Ninã
2022,4,-1.11,La Ninã
2022,5,-1.11,La Ninã
2022,6,-0.75,La Ninã
2022,7,-0.69,La Ninã
2022,8,-0.97,La Ninã
2022,9,-1.07,La Ninã
2022,10,-0.99,La Ninã
2022,11,-0.9,La Ninã
2022,12,-0.85,La Ninã
2023,1,-0.72,La Ninã
2023,2,-0.46,Neutro
2023,3,-0.11,Neutro
2023,4,0.14,Neutro
2023,5,0.46,Neutro
2023,6,0.84,El Ninõ
2023,7,1.02,El Ninõ
2023,8,1.35,El Ninõ
2023,9,1.6,El Ninõ
2023,10,1.72,El Ninõ
2023,11,2.02,El Ninõ
2023,12,2.03,El Ninõ
2024,1,1.81,El Ninõ
2024,2,1.52,El Ninõ
2024,3,1.13,El Ninõ
2024,4,0.77,El Ninõ
2024,5,0.23,Neutro
2024,6,0.17,Neutro
2024,7,0.04,Neutro
2024,8,-0.12,Neutro
2024,9,-0.26,Neutro
2024,10,-0.27,Neutro
2024,11,-0.25,Neutro
2024,12,-0.6,La Ninã
